Fundo El Erial;692160;5556873;170;
Fundo Nilhuis;691768;5516451;370;
Pla. 21 Fundo Diumen;691687;5533569;228;
Fundo Quinchilca;691451;5584971;450;
Fundo Cullincahuin;691418;5587011;122;
Columa;691076;5523203;146;
Fundo Ainilebu;690764;5586626;158;
Fundo Las Rosas;690669;5554077;788;
Fundo El Amanecer;690615;5556547;102;
Huinqueco;690213;5525297;222;
Fundo El Parque;690181;5534067;231;
Fundo Alaska;689971;5606641;461;
Fundo Purriguin;689941;5546278;640;
Fundo Los Alamos;689697;5515297;144;
Parcela12;689611;5540272;144;
Fundo La Aguada;689546;5533830;1008;
Fundo Purrapel;689353;5517402;423;
Predio Las T?rtolas 2;689347;5516357;285;
Fundo Ruca?anco;689135;5511671;280;
Fdo. Pilmaiquen;688922;5539736;150;
Fundo Coi Coi;688864;5565914;145;
Imulfudi;688742;5626455;104;
Fundo Santa Isabel;688671;5534647;618;
Fundo Cuncumen;688550;5522639;240;
Fundo El Refugio;688236;5553575;367;
Fundo Santa Esteban;688007;5620973;107;
Alpino;687914;5620007;113;
Parcelas Unidas;687605;5520815;127;
Fundo El Descanso;687589;5567034;157;
Fundo Cerrillo Lote 1;687565;5550017;196;
Fundo Puquitran;687260;5536928;386;
Ruca?anco;687080;5511841;120;
Fundo Los Aromos;687004;5552512;199;
Fundo Casas del Sur - Rofuco;686572;5543369;1371;
Itropulli;686506;5554277;490;
Fundo Nolguehue;686462;5516462;250;
Fundo San Carlos;686427;5539695;146;
Fundo Canta Rana;685846;5525455;244;
Fundo Chaichay?n;685518;5520102;452;
Quechumpulli;685435;5621895;100;
Fundo Nolgehue;685405;5516675;233;
Fundo Purrehuin;685303;5528030;310;
Fundo Nolguehue;685094;5516036;283;
Quineo Sur;684706;5600742;220;
Fdo. Los Pinos;684618;5545855;123;
Fundo Casas de Mafil;684615;5601147;406;
Los Hualles;684365;5541042;311;
Fundo Bellavista;684000;5562033;414;
Fundo San Pablo;683915;5570916;104;
Fundo Rucaquilen;683753;5558489;110;
Fundo Rinconada;683705;5556567;158;
Los Alamos - Natrial;683637;5521039;599;
Fundo Lo Armida;683133;5527856;215;
Parcela 12 El Refugio;682902;5538962;160;
Fundo Parque Ropulli - Rofuco;682426;5556057;116;
Fundo Regina;682180;5551032;178;
Fundo Tres Esteros;682128;5520485;466;
Fundo Cheuquemil;681949;5524313;318;
Fundo El Tineo;681947;5533563;175;
Fundo Litran;681918;5525279;100;
Fundo Cayucupil.;681844;5554911;508;
Fundo Lo Armida;681792;5527237;150;
Parcela 17  Las Mercedes;681788;5539440;210;
Fundo LLao LLao;681660;5599362;360;
Fundo Lumaco;681628;5513632;548;
Fundo Chiscahue;681545;5540697;150;
Fundo Paillaco;681407;5559898;280;
Fundo Tiqueco;680990;5520359;380;
Fundo Las Vertientes;680841;5562427;102;
Cheuquemil-Tiqueco;680789;5523024;271;
Fundo Curralhue;680724;5517485;215;
Fundo Cheuquemil;680704;5520731;220;
Las Mercedes;680336;5538976;263;
Fundo Maria Elena y El Condor;680201;5539146;243;
Fundo Paillaco;680151;5561405;129;
Hijuela 2  Cachillahue;679950;5531478;307;
Fundo Maria Estela;679226;5521196;392;
Fundo Los Notros;679206;5564225;143;
Fundo San Rafael;678910;5540337;163;
Fundo La Esperanza;678457;5553377;161;
Fundo La Esperanza;678374;5553440;210;
Fundo Chiscahue;678133;5539592;110;
Fundo Las Quemas;677686;5601962;518;
Fundo Santa Elena;677668;5605042;211;
Hijuela Rofuco;677385;5543127;167;
Fundo La Suerte.;677293;5551878;153;
Fundo El Cardal;676785;5528703;139;
Fundo Santa Ester;676693;5537742;250;
Fundo Santa Maria;676425;5563605;726;
Fundo Pampa Redonda;676358;5533965;300;
Tunquel?n;676292;5545787;198;
Fundo Nahuelmo;676058;5610710;220;
Fundo Pichillanca;676025;5604306;114;
Fundo Dollinco;675993;5617384;244;
Fundo Rofuco;675759;5539460;173;
Malinto;675750;5614430;124;
Avichavi;675562;5614825;298;
Fundo Mulpun;675517;5596679;187;
Fundo Queltehue;675270;5610680;209;
Fundo Los Maitenes;675062;5593159;198;
Fundo Rucapichio;674384;5608788;180;
Fundo San Javier;673985;5595548;752;
Fundo Panguimilla;673955;5547109;109;
Fundo Forrahue;673948;5526317;452;
Guampoe;673720;5623617;424;
Fundo Los Alamos;673675;5534518;104;
Quechuco;673388;5624908;187;
I?aque;673231;5606955;280;
Fundo I?aque;673172;5605600;150;
Fundo San Jose;673052;5538409;123;
Fundo Auquinco;673020;5542379;434;
Fundo Monteverde;672659;5602633;395;
Chile Chico;672555;5600622;250;
Peul - Asque;672483;5620029;149;
Fundo Puringue Pobre;672316;5627207;169;
Fundo San Isidro;671924;5541734;525;
Fundo Santa Ines;671810;5537038;250;
El Avellano;671419;5620264;178;
Fundo Mirador;671264;5545512;187;
La Poza;671242;5539671;104;
Junco;671000;5595000;226;
Fundo Las Lomas;670961;5604143;127;
Contra Coronel-Ralicura;670874;5533084;116;
Fundo Pilmaiquen;670377;5528152;100;
Las Palomas;670197;5603551;283;
Fundo La Finca;669984;5538605;143;
Fundo Quintrehueque;669711;5620534;141;
Contra Coronel;669531;5533032;146;
Fundo El Campeon;669098;5538883;222;
Fundo Campanario;668838;5540133;307;
Fundo Paihuen;668489;5627076;583;
Casas de la Union;668442;5549799;182;
Fundo Rumento;668357;5604146;180;
Fundo Chinchinco;668264;5531451;300;
Fundo Juan Carlos Lehmann;667795;5603097;280;
Fundo Los Robles;667586;5600145;330;
Fundo Copihue;667507;5612680;410;
Fdo. Santa Carla;667487;5529061;190;
Fundo Nanihue;667385;5616100;162;
Centinela;665814;5542618;100;
La Esperanza;665700;5616576;240;
Fundo Esmeralda;665465;5619447;104;
Santa Marta;665423;5532209;368;
Fundo El Arrayan;665364;5600629;243;
Fundo Chihuao;665277;5603631;651;
